item_id,repo_slug,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
9e0f70129d4701e8d19e2b5874738256,vlads.digital,kind,claude-sonnet-5,2,Business and clients,Personal-name plus 'digital' reads as a company/agency-style site.,2392,41,0.005194,2026-09-13T08:02:27Z
6c458b8e512de771002ff96fa1ffd3f8,pixel-perfect-flow,kind,claude-sonnet-5,2,Generic or brand-style name,"Only builder vocabulary words like pixel, perfect, flow; no purpose stated.",2396,50,0.005292,2026-09-13T08:02:29Z
74884de303fe49bd64a05d6b48a215e3,rohlik-group-vendor-hub,kind,claude-sonnet-5,2,Business and clients,Vendor hub for a company (Rohlik Group) signals business/client management platform.,2399,44,0.005238,2026-09-13T08:02:31Z
e4e6d9377e97db31917dc6dc829ac535,fit-studio-genesis,kind,claude-sonnet-5,2,Health and fitness,"""fit"" names fitness domain despite generic ""studio"" and ""genesis"" builder words.",2395,52,0.005310,2026-09-13T08:02:33Z
69def0d236e629f31144c23387215003,hrms,kind,claude-sonnet-5,2,Business and clients,"HRMS is an HR management system, a business/client-facing tool.",2389,38,0.005158,2026-09-13T08:02:35Z
0950ea40b2541bae9a97a425a97b7bd1,vonkam-automations,kind,claude-sonnet-5,2,AI and chatbots,Name centers on 'automations' with no other domain word present.,2393,37,0.005156,2026-09-13T08:02:37Z
113a58d0f1735a6db574e3e6360af68e,spinnenfluesterer,kind,claude-sonnet-5,2,Pets and animals,"German 'spinnenflüsterer' means spider whisperer, referencing animals/insects.",2395,48,0.005270,2026-09-13T08:02:39Z
686ec2b0c1671e85ce5d9503b607f868,hazeapp,kind,claude-sonnet-5,2,Cannot tell,'Haze' carries no clear domain meaning; ambiguous name with no purpose stated.,2391,48,0.005262,2026-09-13T08:02:41Z
baa1ca00eea6e0e253b161bb6ccfe6f4,finance-flow-smart-plan,kind,claude-sonnet-5,2,Money and admin,"Contains 'finance' naming the domain, despite generic 'flow' and 'plan' words.",2397,48,0.005274,2026-09-13T08:02:43Z
1a1bba05fc887096b26343ab8154e581,fujaursopastelaria,kind,claude-sonnet-5,2,Food and drink,"Contains 'pastelaria', meaning pastry shop, a food business.",2395,41,0.005200,2026-09-13T08:02:45Z
8666a1cfa8c43876f3a8061f04ac26ec,hello-world-creator-c28d61e7,kind,claude-sonnet-5,2,Cannot tell,"Test/demo-style name with hash suffix, carries no domain purpose.",2400,42,0.005220,2026-09-13T08:02:49Z
ac89c3b6787eaaca73f2648950b4f6b3,the5am,kind,claude-sonnet-5,2,Planning and productivity,"'the5am' suggests an early-morning club, per the routine cue.",2389,42,0.005198,2026-09-13T08:02:52Z
12a3ffb6cbeb23ede78fbc1fa4a3d5bf,pixel-perfect-portfolio-main,kind,claude-sonnet-5,2,Site and portfolio,Portfolio name and personal introduction indicate a personal site,2423,39,0.005236,2026-09-13T08:02:54Z
60209e0f6fb4bc7b868ca9f3cb18cb5e,nantes-spot,kind,claude-sonnet-5,2,Travel and hospitality,"""Spot"" and city name suggest a city guide of places.",2392,41,0.005194,2026-09-13T08:02:56Z
4317ea88de8518c94161e9d90a46a393,sika,kind,claude-sonnet-5,2,Cannot tell,Single ambiguous word with no purpose indicated,2388,35,0.005126,2026-09-13T08:02:58Z
f99bfeecbeec93a07f67820c1e15ecca,portfolio,kind,claude-sonnet-5,2,Site and portfolio,Named 'portfolio' with developer's personal site title.,2407,37,0.005184,2026-09-13T08:03:00Z
