item_id,repo_slug,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
fa7cb1130c4a09cd8966520eb003df4f,money-wise-financetracker,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'Financetracker' plainly names the finance-tracking function of the software.,1866,55,0.004282,2026-09-13T08:13:29Z
38a55b84d2cd12d64b37aa6d2a2064b9,local-zen-chat,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'chat' names the function; 'local' and 'zen' are modifiers.,1864,56,0.004288,2026-09-13T08:13:31Z
e6e2c0695c94283b899a1efcb1ebd23b,holy-child,namestyle,claude-sonnet-5,3,Cannot tell,"Real phrase, unclear relation to software function",1861,33,0.004052,2026-09-13T08:13:33Z
e005e847e82b61f30cc4bae0e8a8c2e5,clever-ai-toolkit-wizard,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'toolkit' is a plain function word naming the software's artefact,1871,53,0.004272,2026-09-13T08:13:36Z
9daf36b85c99f38c59e2afc94b7f37c2,opzet-3d-website,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'3d-website' plainly names the artefact being built,1865,49,0.004220,2026-09-13T08:13:38Z
1a40caf8fe8e3f3df3bb8814f1dab04e,hack-nation-challenge-10,namestyle,claude-sonnet-5,3,Cannot tell,"Hackathon/challenge name, purpose unclear beyond generic competition label",1868,44,0.004176,2026-09-13T08:13:40Z
a9cbdba39442bf26e67a569adbc2522e,marble-drop-draw,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'Marble', 'drop', and 'draw' plainly describe a marble-dropping drawing/game mechanic.",1865,70,0.004430,2026-09-13T08:13:42Z
1f4162c1a602efba02fe1f4831051435,tamra-ritual-design,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'ritual' and 'design' evoke purpose metaphorically, no plain function word.",1866,68,0.004412,2026-09-13T08:13:44Z
250c39ae11ba44ca4daa3268c619e342,chess-life-strategy,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Chess' and 'strategy' evoke metaphor of life strategy, not direct function",1865,70,0.004430,2026-09-13T08:13:46Z
be4a969ee73a3d372fa967c3f689276c,guest-wiz,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'guest' plus 'wiz' wordplay hints at guest management, needs imagination",1863,69,0.004416,2026-09-13T08:13:48Z
0bd21213e5e5e4fa5e17c68a9e2a22c6,knutsford-record-keeper,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'record-keeper' plainly names the software's function despite place name 'knutsford',1867,59,0.004324,2026-09-13T08:13:52Z
40eee3cde2ebc8a2851a2045cef292f0,oeuvres---vs,namestyle,claude-sonnet-5,3,Cannot tell,"Fragment 'oeuvres vs' unclear purpose, no plain function word",1865,46,0.004190,2026-09-13T08:13:53Z
b113af29e981331fd6aff79258c559c5,keyless-door-app,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'door' and 'app' plainly name the function/domain,1864,50,0.004228,2026-09-13T08:13:55Z
7aa0fa6df80f01333c4cdec911638239,ay-mdu-cab,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'cab' abbreviation names taxi function directly,1866,49,0.004222,2026-09-13T08:13:57Z
cadd230d356c616509f5693233b93732,dopaminaacai-cardapio,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'Cardapio' means menu, a plain descriptive function word.",1869,53,0.004268,2026-09-13T08:13:59Z
7a5d02ab8871d8ae1ad2e82067f93609,keat-hong-seniors-connect,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'seniors' names audience, 'connect' with audience makes it descriptive",1869,57,0.004308,2026-09-13T08:14:01Z
ef214a545e3e9637bbda57487ece8339,straightforward-import,namestyle,claude-sonnet-5,3,Cannot tell,Adjective-plus-noun builder combination with no clear function word,1863,39,0.004116,2026-09-13T08:14:03Z
1116481b765b3ee0e0502f6df594f5fd,prototipo-visual-app,namestyle,claude-sonnet-5,3,Cannot tell,Adjective-plus-noun builder combination with no clear function word,1866,39,0.004122,2026-09-13T08:14:05Z
af3139cbf9126c1f4272776806a38983,clinic-buddy-chat,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'clinic' and 'chat' plainly name domain and function,1867,52,0.004254,2026-09-13T08:14:07Z
d73635b6349ee127778fb9fbdcaf5c69,nexabot-clone-buddy,namestyle,claude-sonnet-5,3,Cannot tell,"'Clone' name; coined 'Nexabot' plus buddy, purpose unclear",1868,48,0.004216,2026-09-13T08:14:09Z
4532086c666e1219b0cb376d1609747d,kami-scribe-web,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),'scribe' evokes writing metaphorically; 'kami' and 'web' add no clear function,1865,72,0.004450,2026-09-13T08:14:13Z
89ae4192164c51b32cfa5f89127d3a67,[owner]m_portfolio,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'portfolio' plainly names the software's artefact/domain.,1867,52,0.004254,2026-09-13T08:14:15Z
8bebe05701b723563bf8ca96cca8f949,bar-stock-shine,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'bar-stock' names inventory domain; 'shine' suggests polish, overall descriptive.",1865,64,0.004370,2026-09-13T08:14:16Z
b63413ccc4f982f3169c821fadd75786,ai-sphere-dash,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'dash' means dashboard, a plain function word; 'ai-sphere' descriptive context",1866,63,0.004362,2026-09-13T08:14:19Z
d6c271eb6b5ac740645bc7c8923d8e30,windsurf,namestyle,claude-sonnet-5,3,Cannot tell,"Real word 'windsurf', purpose unknown from name alone",1861,39,0.004112,2026-09-13T08:14:21Z
62f8ddcbcc1fdcd7390a85da3abdf4af,baridi-exam-preparation,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'exam-preparation' plainly names the software's function.,1867,49,0.004224,2026-09-13T08:14:23Z
52c3a39403ebde2f70e4d6ccee6bb615,elife-reg-app-4905,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'reg' means registration, a plain function word describing the app",1867,50,0.004234,2026-09-13T08:14:25Z
1c505867e6ee598669fccf127b89bece,elevate-jobs-hub,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'jobs' and 'hub' plainly name job-search function,1867,52,0.004254,2026-09-13T08:14:27Z
a2e3d6b02dfd083525971f554f583829,ar-condicionado,namestyle,claude-sonnet-5,3,"Generic (names the thing itself: 'tracker', 'shop')","Name is just 'air conditioning', the product category itself",1864,52,0.004248,2026-09-13T08:14:29Z
0156dd313e199412f48e926a19b93ebe,gdgsynergic,namestyle,claude-sonnet-5,3,Cannot tell,Acronym-like fragment 'gdg' plus 'synergic' unclear relation to function,1864,49,0.004218,2026-09-13T08:14:31Z
826ce0bf4c0f306f160d031ac31cc6b3,questopiar,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"Blends 'quest' and 'utopia', evocative wordplay hinting at gamified purpose.",1861,73,0.004452,2026-09-13T08:14:35Z
578e52c38ac72a68042d7f0a10e7f7a2,gen-a-vision,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"Wordplay fusing 'generate' and 'vision', hints at image generation purpose.",1896,69,0.004482,2026-09-13T08:14:37Z
72458d083a6537c4754f7fa204d25981,openfrontier,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"Frontier is evocative metaphor, no plain function word present",1862,60,0.004324,2026-09-13T08:14:39Z
83303658b6f18d9b16da1635fffa0600,rihlatul-hudah-hub,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Hub' is connective, 'rihlatul-hudah' is untranslated metaphorical phrase, no plain function word",1869,81,0.004548,2026-09-13T08:14:41Z
d2dbfa4a52359f0ef3d135fe01c6d168,fabri-korea-connect-global,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'Korea' names audience/domain, connecting globally, plain descriptive combination",1868,59,0.004326,2026-09-13T08:14:43Z
187312a78dc6ac1a67ff7d5a9da0bc4e,koora-live-now,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'koora' (football) plus 'live' plainly names domain and function,1874,54,0.004288,2026-09-13T08:14:45Z
48b7ecde89717cb5fb9c332199f2fa48,meetwise-seascapes,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'meetwise' wordplay plus evocative 'seascapes' metaphor, no plain function word",1866,73,0.004462,2026-09-13T08:14:47Z
a171aefb142eda06c744b43e0d9056a8,skiwix-launchpad,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Launchpad' evokes starting/deployment metaphor; 'skiwix' fanciful, no plain function word.",1866,79,0.004522,2026-09-13T08:14:49Z
6015cf2f8b080309d2c7abed89c7d7c4,modelai-hub,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'model' and 'hub' plainly name an AI model repository function,1863,53,0.004256,2026-09-13T08:14:52Z
ee199c59a5b3acbfe9f3e4ddc3ec60f0,catho,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Catho' truncates Catholic, hinting domain without plain function word",1859,64,0.004358,2026-09-13T08:14:53Z
cd1fa117c645b0e413a784dd9b685ec9,motion-marketing-magic-d547d734,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'Motion' and 'marketing' plainly name domain/function despite decorative 'magic' and hash.,1871,66,0.004402,2026-09-13T08:17:58Z
688167652808cefef101013ab411e1e7,creem-plan-pro,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'plan' names function; 'pro' is decorative suffix, 'creem' is brand",1865,61,0.004340,2026-09-13T08:18:00Z
6211c8cbddbf7ebe5f0f22b7ee6e7b78,aiss-plumbing,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'plumbing' names the service domain plainly,1865,47,0.004200,2026-09-13T08:18:02Z
0879c9ae77223b59972f6c1494ecd953,site-internet-[owner],namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'site-internet' plainly names a website, a function word",1866,49,0.004222,2026-09-13T08:18:04Z
5a5db54f4f6228839b78ae1d17929077,puckpedia-insights,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'Insights' names function; 'puckpedia' is brand alongside it.,1865,56,0.004290,2026-09-13T08:18:06Z
41437de9dd06316ed0e47b44c0f2ff44,chat-agency-hub,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'chat' and 'hub' plainly name function; agency names audience/domain,1865,57,0.004300,2026-09-13T08:18:08Z
7f9ab9d209951d04706803a72e373582,sentiment-scan-ninja,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'sentiment' and 'scan' plainly name the analysis function performed,1868,56,0.004296,2026-09-13T08:18:11Z
