item_id,repo_slug,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
9e0f70129d4701e8d19e2b5874738256,vlads.digital,kind,claude-sonnet-5,0,Generic or brand-style name,imported from llm_labels.csv (full-stratum run before alignment); original label: Generic or brand-style name,0,0,0.000000,2026-09-13T07:51:00Z
6c458b8e512de771002ff96fa1ffd3f8,pixel-perfect-flow,kind,claude-sonnet-5,0,Creative and media,imported from llm_labels.csv (full-stratum run before alignment); original label: Creative and media,0,0,0.000000,2026-09-13T07:51:00Z
74884de303fe49bd64a05d6b48a215e3,rohlik-group-vendor-hub,kind,claude-sonnet-5,0,Business and clients,imported from llm_labels.csv (full-stratum run before alignment); original label: Business and clients,0,0,0.000000,2026-09-13T07:51:00Z
e4e6d9377e97db31917dc6dc829ac535,fit-studio-genesis,kind,claude-sonnet-5,0,Health and fitness,imported from llm_labels.csv (full-stratum run before alignment); original label: Health and fitness,0,0,0.000000,2026-09-13T07:51:00Z
69def0d236e629f31144c23387215003,hrms,kind,claude-sonnet-5,0,Business and clients,imported from llm_labels.csv (full-stratum run before alignment); original label: Business and clients,0,0,0.000000,2026-09-13T07:51:00Z
0950ea40b2541bae9a97a425a97b7bd1,vonkam-automations,kind,claude-sonnet-5,0,Business and clients,imported from llm_labels.csv (full-stratum run before alignment); original label: Business and clients,0,0,0.000000,2026-09-13T07:51:00Z
113a58d0f1735a6db574e3e6360af68e,spinnenfluesterer,kind,claude-sonnet-5,0,Pets and animals,imported from llm_labels.csv (full-stratum run before alignment); original label: Pets and animals,0,0,0.000000,2026-09-13T07:51:00Z
686ec2b0c1671e85ce5d9503b607f868,hazeapp,kind,claude-sonnet-5,0,Generic or brand-style name,imported from llm_labels.csv (full-stratum run before alignment); original label: Generic or brand-style name,0,0,0.000000,2026-09-13T07:51:00Z
baa1ca00eea6e0e253b161bb6ccfe6f4,finance-flow-smart-plan,kind,claude-sonnet-5,0,Money and admin,imported from llm_labels.csv (full-stratum run before alignment); original label: Money and admin,0,0,0.000000,2026-09-13T07:51:00Z
1a1bba05fc887096b26343ab8154e581,fujaursopastelaria,kind,claude-sonnet-5,0,Food and drink,imported from llm_labels.csv (full-stratum run before alignment); original label: Food and drink,0,0,0.000000,2026-09-13T07:51:00Z
8666a1cfa8c43876f3a8061f04ac26ec,hello-world-creator-c28d61e7,kind,claude-sonnet-5,0,Generic or brand-style name,imported from llm_labels.csv (full-stratum run before alignment); original label: Generic or brand-style name,0,0,0.000000,2026-09-13T07:51:00Z
