repo_id,log_repos,log_followers,log_age,has_bio,one_burst,all_in_corpus,det_score,dan_label,y,coder_label,coder_term,full_score,position
52cc42cb3f2a0cf53f7b080cb112fa7b,1.791759469228055,0.0,5.181783550292085,0.0,1.0,0.0,-0.3368928896847727,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,-0.32798856104315627,1
1e646c0e443b72405573d8e6a6b19582,0.6931471805599453,0.0,0.0,0.0,1.0,1.0,-1.3710267943026855,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,-1.214389050715653,2
fe4ba31069b8dd6c0df3620e603a0c38,1.0986122886681098,0.0,2.3978952727983707,0.0,0.0,0.0,-0.2859640541569101,Looks made by someone technical but not a professional developer,1,Looks made by someone technical but not a professional developer,0.5,0.10789699682852268,3
b28b33edc9aade97f7fbed2a6d05e569,2.3978952727983707,0.0,4.709530201312334,0.0,0.0,0.0,0.05885849319448048,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,0.011226909996203602,4
ef4261ff9e82c84efe40c74c241acb97,2.5649493574615367,1.3862943611198906,7.330405211844402,1.0,1.0,0.0,0.5945201155907524,Looks made by a professional developer,1,Cannot tell from the evidence,0.0,0.4703654434787224,5
8e2f2a5fb5abbc2a973034528ced401a,3.4965075614664802,0.6931471805599453,6.48768401848461,0.0,1.0,0.0,0.12756988926673585,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,0.07012239234385106,6
38ec3c3f6cd1e053404bd9937cb28d79,2.833213344056216,0.0,4.127134385045092,0.0,1.0,0.0,-0.26268273530420344,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,-0.2643798572883826,7
c282c4622ec7a33febb5e1dc797462a7,3.5263605246161616,2.4849066497880004,7.655864017616056,1.0,0.0,0.0,1.3055015816092632,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,1.079778128637446,8
6227e59176d45f25a3364f244947370e,2.0794415416798357,0.0,4.867534450455582,0.0,1.0,0.0,-0.3179876817788392,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,-0.3117840971237847,9
effdcfe3181c7fd771917e2d80680514,1.0986122886681098,0.0,5.3230099791384085,0.0,0.0,0.0,-0.08255767049769751,Cannot tell from the evidence,0,Cannot tell from the evidence,0.0,-0.10998694459709181,10
